Total Nacional;Comunidades y Ciudades Autónomas;Grupos de usuarios e importe;periodo;Total
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2009;8.728
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2008;8.283
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2007;16.905
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2006;5.440
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2005;4.898
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2004;4.267
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2003;3.905
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2002;3.981
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2001;7.321
Total Nacional;08 Castilla - La Mancha;Importe total de la inversión en los servicios de suministro;2000;13.631
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2020;30.222
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2018;61.965
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2016;39.733
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2014;60.119
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2013;52.378
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2012;65.131
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2011;56.409
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2010;66.155
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2009;62.552
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2008;95.941
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2007;74.165
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2006;61.214
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2005;60.287
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2004;49.064
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2003;78.478
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2002;63.945
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2001;47.824
Total Nacional;09 Cataluña;Importe total de la inversión en los servicios de suministro;2000;57.475
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2020;39.274
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2018;17.207
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2016;20.264
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2014;26.192
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2013;42.230
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2012;26.004
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2011;30.875
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2010;25.950
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2009;31.266
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2008;36.053
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2007;46.532
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2006;28.145
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2005;28.523
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2004;29.653
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2003;40.637
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2002;25.089
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2001;17.524
Total Nacional;10 Comunitat Valenciana;Importe total de la inversión en los servicios de suministro;2000;17.453
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2020;2.263
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2018;356
