"Total Nacional","Comunidades y Ciudades Autónomas","Grupos de usuarios e importe","periodo","Total"
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2014,"39.867"
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2013,"41.385"
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2012,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2011,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2010,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2009,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2008,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2007,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2006,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2005,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2004,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2003,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2002,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2001,".."
"Total Nacional","09 Cataluña","Longitud de la red de suministro (km)",2000,".."
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2020,"389.668"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2018,"407.669"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2016,"368.952"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2014,"381.995"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2013,"364.059"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2012,"369.422"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2011,"356.403"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2010,"363.797"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2009,"395.768"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2008,"438.975"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2007,"421.075"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2006,"421.497"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2005,"393.009"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2004,"422.820"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2003,"389.367"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2002,"351.382"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2001,"363.360"
"Total Nacional","10 Comunitat Valenciana","Volumen total de agua registrada y distribuida por tipo de usuario",2000,"368.606"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2020,"57.296"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2018,"52.749"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2016,"44.401"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2014,"44.282"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2013,"44.553"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2012,"49.096"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2011,"54.961"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2010,"50.449"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2009,"52.942"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2008,"69.759"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2007,"69.664"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2006,"66.110"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2005,"66.515"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2004,"93.247"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2003,"93.047"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2002,"76.441"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2001,"102.860"
"Total Nacional","10 Comunitat Valenciana","- Sectores económicos",2000,"92.948"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2020,"289.555"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2018,"315.744"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2016,"292.572"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2014,"292.516"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2013,"285.743"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2012,"293.361"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2011,"277.013"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2010,"286.121"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2009,"317.668"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2008,"336.757"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2007,"323.864"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2006,"324.894"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2005,"293.036"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2004,"295.284"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2003,"265.304"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2002,"249.908"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2001,"237.245"
"Total Nacional","10 Comunitat Valenciana","- Hogares",2000,"249.685"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2020,"42.817"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2018,"39.176"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2016,"31.979"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2014,"45.197"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2013,"33.763"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2012,"26.965"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2011,"24.429"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2010,"27.227"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2009,"25.158"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2008,"32.459"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2007,"27.547"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2006,"30.493"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2005,"33.458"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2004,"34.289"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2003,"31.016"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2002,"25.033"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2001,"23.255"
"Total Nacional","10 Comunitat Valenciana","- Consumos municipales",2000,"25.973"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2020,"463.503"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2018,"492.676"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2016,"483.866"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2014,"460.963"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2013,"448.695"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2012,"450.286"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2011,"396.173"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2010,"374.919"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2009,"374.632"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2008,"425.691"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2007,"372.308"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2006,"327.874"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2005,"275.921"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2004,"297.070"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2003,"249.449"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2002,"206.077"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2001,"199.498"
"Total Nacional","10 Comunitat Valenciana","Importe facturado por el agua suministrada",2000,"202.655"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2020,"39.274"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2018,"17.207"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2016,"20.264"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2014,"26.192"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2013,"42.230"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2012,"26.004"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2011,"30.875"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2010,"25.950"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2009,"31.266"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2008,"36.053"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2007,"46.532"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2006,"28.145"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2005,"28.523"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2004,"29.653"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2003,"40.637"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2002,"25.089"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2001,"17.524"
"Total Nacional","10 Comunitat Valenciana","Importe total de la inversión en los servicios de suministro",2000,"17.453"
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2020,"39.867"
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2018,"39.484"
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2016,"33.792"
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2014,"37.743"
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2013,"42.791"
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2012,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2011,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2010,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2009,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2008,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2007,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2006,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2005,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2004,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2003,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2002,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2001,".."
"Total Nacional","10 Comunitat Valenciana","Longitud de la red de suministro (km)",2000,".."
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2020,"61.740"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2018,"67.141"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2016,"73.179"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2014,"67.890"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2013,"69.626"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2012,"75.522"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2011,"74.042"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2010,"78.298"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2009,"79.683"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2008,"90.963"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2007,"98.774"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2006,"111.253"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2005,"108.617"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2004,"114.719"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2003,"114.108"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2002,"97.182"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2001,"95.105"
"Total Nacional","11 Extremadura","Volumen total de agua registrada y distribuida por tipo de usuario",2000,"81.855"
"Total Nacional","11 Extremadura","- Sectores económicos",2020,"6.489"
"Total Nacional","11 Extremadura","- Sectores económicos",2018,"7.973"
"Total Nacional","11 Extremadura","- Sectores económicos",2016,"11.144"
"Total Nacional","11 Extremadura","- Sectores económicos",2014,"6.524"
"Total Nacional","11 Extremadura","- Sectores económicos",2013,"5.026"
"Total Nacional","11 Extremadura","- Sectores económicos",2012,"6.859"
"Total Nacional","11 Extremadura","- Sectores económicos",2011,"7.540"
"Total Nacional","11 Extremadura","- Sectores económicos",2010,"5.971"
"Total Nacional","11 Extremadura","- Sectores económicos",2009,"6.949"
"Total Nacional","11 Extremadura","- Sectores económicos",2008,"18.392"
"Total Nacional","11 Extremadura","- Sectores económicos",2007,"14.655"
"Total Nacional","11 Extremadura","- Sectores económicos",2006,"26.586"
"Total Nacional","11 Extremadura","- Sectores económicos",2005,"26.160"
"Total Nacional","11 Extremadura","- Sectores económicos",2004,"26.742"
"Total Nacional","11 Extremadura","- Sectores económicos",2003,"28.674"
"Total Nacional","11 Extremadura","- Sectores económicos",2002,"18.577"
"Total Nacional","11 Extremadura","- Sectores económicos",2001,"18.461"
"Total Nacional","11 Extremadura","- Sectores económicos",2000,"12.570"
"Total Nacional","11 Extremadura","- Hogares",2020,"46.317"
"Total Nacional","11 Extremadura","- Hogares",2018,"49.199"
"Total Nacional","11 Extremadura","- Hogares",2016,"50.996"
"Total Nacional","11 Extremadura","- Hogares",2014,"49.882"
"Total Nacional","11 Extremadura","- Hogares",2013,"56.230"
"Total Nacional","11 Extremadura","- Hogares",2012,"55.277"
"Total Nacional","11 Extremadura","- Hogares",2011,"56.978"
"Total Nacional","11 Extremadura","- Hogares",2010,"63.359"
"Total Nacional","11 Extremadura","- Hogares",2009,"64.433"
"Total Nacional","11 Extremadura","- Hogares",2008,"62.185"
"Total Nacional","11 Extremadura","- Hogares",2007,"73.287"
"Total Nacional","11 Extremadura","- Hogares",2006,"72.462"
"Total Nacional","11 Extremadura","- Hogares",2005,"68.442"
"Total Nacional","11 Extremadura","- Hogares",2004,"69.886"
"Total Nacional","11 Extremadura","- Hogares",2003,"63.802"
"Total Nacional","11 Extremadura","- Hogares",2002,"64.754"
"Total Nacional","11 Extremadura","- Hogares",2001,"65.284"
"Total Nacional","11 Extremadura","- Hogares",2000,"61.080"
"Total Nacional","11 Extremadura","- Consumos municipales",2020,"8.934"
"Total Nacional","11 Extremadura","- Consumos municipales",2018,"9.969"
"Total Nacional","11 Extremadura","- Consumos municipales",2016,"11.039"
"Total Nacional","11 Extremadura","- Consumos municipales",2014,"11.484"
"Total Nacional","11 Extremadura","- Consumos municipales",2013,"8.370"
"Total Nacional","11 Extremadura","- Consumos municipales",2012,"13.386"
"Total Nacional","11 Extremadura","- Consumos municipales",2011,"9.524"
"Total Nacional","11 Extremadura","- Consumos municipales",2010,"8.968"
"Total Nacional","11 Extremadura","- Consumos municipales",2009,"8.301"
"Total Nacional","11 Extremadura","- Consumos municipales",2008,"10.386"
"Total Nacional","11 Extremadura","- Consumos municipales",2007,"10.832"
"Total Nacional","11 Extremadura","- Consumos municipales",2006,"12.205"
"Total Nacional","11 Extremadura","- Consumos municipales",2005,"14.015"
"Total Nacional","11 Extremadura","- Consumos municipales",2004,"18.091"
"Total Nacional","11 Extremadura","- Consumos municipales",2003,"21.632"
"Total Nacional","11 Extremadura","- Consumos municipales",2002,"13.851"
"Total Nacional","11 Extremadura","- Consumos municipales",2001,"11.360"
"Total Nacional","11 Extremadura","- Consumos municipales",2000,"8.205"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2020,"62.392"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2018,"67.116"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2016,"68.195"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2014,"67.670"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2013,"72.610"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2012,"73.152"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2011,"62.941"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2010,"63.248"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2009,"61.946"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2008,"59.922"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2007,"67.157"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2006,"66.043"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2005,"62.172"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2004,"64.535"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2003,"61.618"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2002,"54.241"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2001,"51.333"
"Total Nacional","11 Extremadura","Importe facturado por el agua suministrada",2000,"45.539"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2020,"2.263"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2018,"356"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2016,"547"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2014,"1.957"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2013,"2.075"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2012,"3.240"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2011,"470"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2010,"1.288"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2009,"1.906"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2008,"6.494"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2007,"4.012"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2006,"4.063"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2005,"3.072"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2004,"2.201"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2003,"3.878"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2002,"2.630"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2001,"4.301"
"Total Nacional","11 Extremadura","Importe total de la inversión en los servicios de suministro",2000,"1.214"
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2020,"8.310"
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2018,"8.276"
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2016,"8.001"
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2014,"6.996"
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2013,"7.633"
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2012,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2011,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2010,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2009,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2008,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2007,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2006,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2005,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2004,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2003,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2002,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2001,".."
"Total Nacional","11 Extremadura","Longitud de la red de suministro (km)",2000,".."
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2020,"177.892"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2018,"176.868"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2016,"187.900"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2014,"186.405"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2013,"184.559"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2012,"189.873"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2011,"182.743"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2010,"188.948"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2009,"197.023"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2008,"206.568"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2007,"213.865"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2006,"229.631"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2005,"235.015"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2004,"239.245"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2003,"236.681"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2002,"261.066"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2001,"270.868"
"Total Nacional","12 Galicia","Volumen total de agua registrada y distribuida por tipo de usuario",2000,"255.670"
"Total Nacional","12 Galicia","- Sectores económicos",2020,"40.084"
"Total Nacional","12 Galicia","- Sectores económicos",2018,"42.574"
"Total Nacional","12 Galicia","- Sectores económicos",2016,"39.474"
"Total Nacional","12 Galicia","- Sectores económicos",2014,"41.160"
"Total Nacional","12 Galicia","- Sectores económicos",2013,"40.021"
"Total Nacional","12 Galicia","- Sectores económicos",2012,"38.448"
"Total Nacional","12 Galicia","- Sectores económicos",2011,"32.572"
"Total Nacional","12 Galicia","- Sectores económicos",2010,"32.679"
"Total Nacional","12 Galicia","- Sectores económicos",2009,"34.690"
"Total Nacional","12 Galicia","- Sectores económicos",2008,"30.918"
"Total Nacional","12 Galicia","- Sectores económicos",2007,"34.737"
"Total Nacional","12 Galicia","- Sectores económicos",2006,"42.128"
"Total Nacional","12 Galicia","- Sectores económicos",2005,"43.718"
"Total Nacional","12 Galicia","- Sectores económicos",2004,"58.464"
"Total Nacional","12 Galicia","- Sectores económicos",2003,"44.865"
"Total Nacional","12 Galicia","- Sectores económicos",2002,"62.532"
"Total Nacional","12 Galicia","- Sectores económicos",2001,"65.821"
"Total Nacional","12 Galicia","- Sectores económicos",2000,"60.598"
"Total Nacional","12 Galicia","- Hogares",2020,"128.276"
"Total Nacional","12 Galicia","- Hogares",2018,"123.318"
"Total Nacional","12 Galicia","- Hogares",2016,"136.274"
"Total Nacional","12 Galicia","- Hogares",2014,"128.722"
"Total Nacional","12 Galicia","- Hogares",2013,"119.906"
"Total Nacional","12 Galicia","- Hogares",2012,"133.745"
"Total Nacional","12 Galicia","- Hogares",2011,"133.212"
"Total Nacional","12 Galicia","- Hogares",2010,"132.094"
"Total Nacional","12 Galicia","- Hogares",2009,"139.027"
"Total Nacional","12 Galicia","- Hogares",2008,"145.691"
"Total Nacional","12 Galicia","- Hogares",2007,"142.479"
"Total Nacional","12 Galicia","- Hogares",2006,"160.223"
"Total Nacional","12 Galicia","- Hogares",2005,"152.756"
"Total Nacional","12 Galicia","- Hogares",2004,"155.693"
"Total Nacional","12 Galicia","- Hogares",2003,"143.213"
"Total Nacional","12 Galicia","- Hogares",2002,"130.504"
"Total Nacional","12 Galicia","- Hogares",2001,"122.460"
"Total Nacional","12 Galicia","- Hogares",2000,"127.933"
"Total Nacional","12 Galicia","- Consumos municipales",2020,"9.532"
"Total Nacional","12 Galicia","- Consumos municipales",2018,"10.976"
"Total Nacional","12 Galicia","- Consumos municipales",2016,"12.152"
"Total Nacional","12 Galicia","- Consumos municipales",2014,"16.523"
"Total Nacional","12 Galicia","- Consumos municipales",2013,"24.632"
"Total Nacional","12 Galicia","- Consumos municipales",2012,"17.680"
"Total Nacional","12 Galicia","- Consumos municipales",2011,"16.959"
"Total Nacional","12 Galicia","- Consumos municipales",2010,"24.175"
"Total Nacional","12 Galicia","- Consumos municipales",2009,"23.306"
"Total Nacional","12 Galicia","- Consumos municipales",2008,"29.959"
"Total Nacional","12 Galicia","- Consumos municipales",2007,"36.649"
"Total Nacional","12 Galicia","- Consumos municipales",2006,"27.280"
"Total Nacional","12 Galicia","- Consumos municipales",2005,"38.541"
"Total Nacional","12 Galicia","- Consumos municipales",2004,"25.088"
"Total Nacional","12 Galicia","- Consumos municipales",2003,"48.603"
"Total Nacional","12 Galicia","- Consumos municipales",2002,"68.030"
"Total Nacional","12 Galicia","- Consumos municipales",2001,"82.587"
"Total Nacional","12 Galicia","- Consumos municipales",2000,"67.139"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2020,"123.253"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2018,"122.478"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2016,"142.352"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2014,"124.767"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2013,"142.733"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2012,"136.156"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2011,"116.452"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2010,"114.511"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2009,"115.757"
"Total Nacional","12 Galicia","Importe facturado por el agua suministrada",2008,"95.658"
