"Total Nacional","Comunidades y Ciudades Autónomas","Grupos de usuarios e importe","periodo","Total"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2013,"95.406"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2012,"106.036"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2011,"97.449"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2010,"104.256"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2009,"108.516"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2008,"113.256"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2007,"101.814"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2006,"111.741"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2005,"115.627"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2004,"113.896"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2003,"125.300"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2002,"116.030"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2001,"108.990"
"Total Nacional","02 Aragón","Volumen total de agua registrada y distribuida por tipo de usuario",2000,"110.567"
"Total Nacional","02 Aragón","- Sectores económicos",2020,"25.931"
"Total Nacional","02 Aragón","- Sectores económicos",2018,"28.412"
"Total Nacional","02 Aragón","- Sectores económicos",2016,"27.866"
"Total Nacional","02 Aragón","- Sectores económicos",2014,"25.278"
"Total Nacional","02 Aragón","- Sectores económicos",2013,"24.577"
"Total Nacional","02 Aragón","- Sectores económicos",2012,"28.777"
"Total Nacional","02 Aragón","- Sectores económicos",2011,"28.601"
"Total Nacional","02 Aragón","- Sectores económicos",2010,"28.991"
"Total Nacional","02 Aragón","- Sectores económicos",2009,"30.560"
"Total Nacional","02 Aragón","- Sectores económicos",2008,"31.962"
"Total Nacional","02 Aragón","- Sectores económicos",2007,"26.194"
"Total Nacional","02 Aragón","- Sectores económicos",2006,"28.030"
"Total Nacional","02 Aragón","- Sectores económicos",2005,"31.797"
"Total Nacional","02 Aragón","- Sectores económicos",2004,"26.126"
"Total Nacional","02 Aragón","- Sectores económicos",2003,"30.293"
"Total Nacional","02 Aragón","- Sectores económicos",2002,"35.791"
"Total Nacional","02 Aragón","- Sectores económicos",2001,"23.569"
"Total Nacional","02 Aragón","- Sectores económicos",2000,"26.110"
"Total Nacional","02 Aragón","- Hogares",2020,"64.975"
"Total Nacional","02 Aragón","- Hogares",2018,"62.011"
"Total Nacional","02 Aragón","- Hogares",2016,"65.776"
"Total Nacional","02 Aragón","- Hogares",2014,"62.877"
"Total Nacional","02 Aragón","- Hogares",2013,"62.913"
"Total Nacional","02 Aragón","- Hogares",2012,"66.288"
"Total Nacional","02 Aragón","- Hogares",2011,"63.386"
"Total Nacional","02 Aragón","- Hogares",2010,"69.125"
